排名,字詞,出現次數
1,環資訊息,1358
2,民主書院訊息,735
3,video,594
4,uploaded,584
5,司改會訊息,168
6,同志熱線訊息,142
7,親子共學訊息,131
8,永社,109
9,綠色和平台灣,102
10,中華民國智障者家長總會,102
11,環盟訊息,99
12,荒野訊息,92
13,彰化環盟,86
14,護家盟訊息,79
15,高教工會訊息,79
16,蠻野心足訊息,78
17,台權會訊息,73
18,伊甸基金會,69
19,主婦聯盟訊息,69
20,婦女新知訊息,63
21,live,62
22,新聞稿,58
23,公民監督國會聯盟,56
24,智障者家長總會,52
25,廢死聯盟訊息,51
26,勵馨基金會,50
27,taiwan,49
,伴侶盟訊息,44
,白絲帶協會,43
,勵馨訊息,42
,2017,41
,酷兒權益訊息,41
,中華記協訊息,39
,tweet,39
,ngonewstw,39
,day,38
,7764467,38
,donate,37
,法律扶助基金會,36
,老盟訊息,35
,六,34
,公督盟訊息,34
,watch,34
,人權公約施行監督聯盟,33
,covenants,33
,china,31
,南部,31
,中國人權,30
,總統府司法改革國是會議,30
,youtube,29
,投書,29
,澄社訊息,27
,videos,27
,民間司法改革基金會,26
,world,26
,台灣世界展望會,26
,vision,26
,平冤訊息,25
,慈林基金會,24
,小筆記,23
,你來報報,23
,台灣社運訊息推播,23
,10,23
,彰化縣環境保護聯盟,21
,wildathearttw,21
,聯合聲明,21
,one,20
,link,20
,2016,20
,研究,20
,權促電子報,20
,click,20
,台南新芽,20
,legal,20
,人約盟訊息,20
,董氏基金會菸害防制中心,20
,life,19
,ngo,19
,財團法人民間司法改革基金會,19
,12,19
,環團,19
,勞陣訊息,18
,金融業總工會,18
,3,18
,平冤週報,18
,記者會,18
,cepu,18
,現代婦女基金會,17
,word,17
,forty,17
,spread,17
,電業法,17
,台語文基金會,16
,support,16
,看守台灣協會,16
,永續生態旅遊協會,16
,伴侶盟tapcpr,16
,聲明,16
,蠻野講堂,16
,日,15
,兒福聯盟,15
,11,15
,經民連訊息,15
,會後新聞稿,14
,聲明稿,14
,2,13
,人本訊息,13
,x,13
,影音,13
,show,13
,4,13
,公告,13
,聯合新聞稿,12
,董氏基金會心理衛生中心,12
,嬡拉蕾,12
,愛滋感染者權益,12
,民主平台訊息,12
,媒觀訊息,12
,環境創作短片賞,12
,活動紀錄,12
,台灣露德協會,12
,1,12
,5,12
,cet,11
,台灣基地,11
,下,11
,make,11
,慈林教育基金會,11
,difference,11
,地球公民基金會,11
,採訪通知,11
,壞掉的人藏起來的傷,10
,開拓基金會,10
,lgbitaiwan,10
,科技濃湯,10
,施明正與舞鶴,10
,陳千武,10
,人權與文學,10
,9,10
,上,9
,20161128同婚公聽會,9
,勞動者電子報,9
,敬邀,9
,help,9
,new,9
,讀者投稿,9
,3,9
,座談會,9
,聯合國,9
,施逸翔,9
,社團法人台灣酷兒權益推動聯盟,9
,婦女新知基金會,9
,公督盟,9
,tongzhi,8
,台灣同志諮詢熱線,8
,7,8
,shan,8
,阿拉斯加追候鳥,8
,青少年同志雙聚會,8
,追蹤福島核災,8
,聯合勸募,8
,綠盟訊息,8
,18,8
,25,8
,轉型正義週訊,8
,屏東環盟,8
,zhi,8
,2016年精障性少數系列講座,8
,好家在,8
,生態紀錄篇,8
,hotline,8
,ngos,7
,絕地,7
,深耕德瑪汶,7
,2017年,7
,become,7
,反對,7
,再生,7
,5,7
,digital,7
,rfa獨家,7
,supporter,7
,慈林講座,7
,點評,7
,公民法治教育,7
,環署,7
,財源滾滾到,6
,人權星期三,6
,反迫遷連線,6
,中華民國身心障礙聯盟,6
,下午7,6
,4,6
,l,6
,台灣關懷中國人權聯盟,6
,關懷中國人權,6
,709大抓捕,6
,生態旅遊講座,6
,2016中華新聞記者協會袁天明理事長率團赴吉林省進行交流參訪成果豐碩,6
,蔡英文,6
,金雞年大吉大利,6
,豆豆不簡單,6
,15,6
,26,6
,22,6
,part,6
,永續海鱻食堂,6
,高教工會,6
,join,6
,綠桌遊,6
,彰化,6
,全民要參與,6
,台灣展翅協會ecpat,6
,法扶台北分會敬祝您新春愉快,6
,高雄場,6
,toolkit,5
,公民參與媒改,5
,台中吊嘎記,5
,technology,5
,taedp,5
,發言稿,5
,us,5
,charity,5
,這是家當,5
,ngo網站建置,5
,台權會x上報,5
,學者,5
,香港,5
,enddeathpenalty,5
,不是棄物,5
,amp,5
,精障同志伴侶的親密關係,5
,崔媽媽基金會,5
,新芽講堂,5
,2016年10月5日,5
,m,5
,6,5
,給我報報,5
,成報,5
,陸委會,5
,手動推文,5
,一,5
,綠色小方舟,5
,20,5
,中國,5
,free,5
,法治教育,5
,活動快訊,5
,pm2,5
,期,5
,巴黎協定,5
,r,5
,詹順貴,5
,原能會,5
,原促會訊息,5
,歡迎免費入場參加,4
,行行同志做自己,4
,20161124同婚公聽會,4
,線上直播中,4
,高雄公監盟,4
,司改玩真的,4
,自然谷之星,4
,台中,4
,反恐,4
,蛙做的夢是什麼顏色,4
,五,4
,see,4
,第三餐盤,4
,tools,4
,野果,4
,民間公民與法治教育基金會,4
,非核低碳,4
,二,4
,回家,4
,進步社會行動如何贏取勝利,4
,network,4
,campaigns,4
,販賣懷疑的人,4
,change,4
,第二場次,4
,nonprofit,4
,縣市紛提案特農降級一般農,4
,華人民主書院,4
,請台北市政府與台鐵停止強行清理遊民家當措施,4
,崔媽媽居住電子報,4
,的,4
,聊天會,4
,環團批,4
,私立大專教師拒絕接受最低的所得替代率,4
,講座,4
,熟男聊天室,4
,2017年3,4
,永續能源,4
,司法改革國是會議,4
,100,4
,rights,4
,2017環保茶坊,4
,networked,4
,聯合記者會,4
,105年長期照護專業人力共同課程,4
,2016年度接線統計報告,4
,9,4
,媒觀,4
,櫃裡的風暴,4
,human,4
,台語sa攏有,4
,電影座談,4
,14,4
,17,4
,16,4
,19,4
,農地違章工廠就地合法,4
,金車奇幻文學獎,4
,影片,4
,法官法,4
,8,4
,google,4
,台灣同志電影中的性,4
,台化,4
,監督條例不能再等,4
,一例一休,4
,環境政策總體檢,4
,內政部,4
,婚姻平權,4
,什麼,4
,520,4
,私校平等待遇,4
,永無島的旋律,4
,海外觀察專欄,4
,2017全球反孟山都行動台灣,4
,migrantworker,4
,台都市更新受害者聯盟,4
,level,4
,公民愛家行動,4
,新知公告,4
,特展,4
,當代漂泊訊息,4
,國防部,4
,周宇修,4
,漬物語,4
,兩公約第二次國家報告國際審查,3
,歐盟訂後2020年小型車排放標準,3
,老人保護責任通報人訓練,3
,桃園藻礁的美麗與哀愁,3
,賄選新標準,3
,土壤的救贖,3
,rt,3
,海洋廢棄物行動教案,3
,變,3
,彰縣府,3
,sow,3
,動畫篇,3
,60餘迫遷自救會上凱道,3
,簡章,3
,越賺錢,3
,訊息代刊,3
,年度工作報告,3
,note,3
,come,3
,瀕危穿山甲命運待決,3
,循環經濟,3
,社大好學報,3
,6,3
,與,3
,全國公民行動方案競賽,3
,同志父母親人座談,3
,國民黨,3
,專題報導,3
,李應元,3
,失眠,3
,鍋碗瓢盆齊飛怨六都市長,3
,npo,3
,kpi,3
,台權會x法扶,3
,南洋姊妹會,3
,員工越幸福,3
,7,3
,農耕大事吃小事,3
,國際勞工協會,3
,為婚姻平權站出來,3
,鯨彩一生,3
,經濟部稱無法源,3
,六四,3
,光州事件裡的女性,3
,梁頌恆,3
,華人民主書院回歸20年回顧系列講座,3
,動員快訊,3
,npo線上指標報告,3
,1課程,3
,away,3
,課程簡章,3
,skillsplatform,3
,新社會協進會,3
,吳慷仁同台發表,3
,公益影片,3
,test,3
,越環保,3
,南區,3
,華麗的假期,3
,npo普徧上常使用的,3
,死刑犯的最後一天,3
,社大全促會,3
,社會住宅𦘅𨐬聯盟,3
,中,3
,記,3
,音樂會,3
,家家綠行動,3
,性別團體聯合聲明,3
,網路數位安全保護小提醒,3
,黑潮洶湧,3
,鼻頭角,3
,350,3
,推薦序,3
,以健康為核心的毒品政策,3
,1850元,3
,106年老人保護專業人員訓練,3
,gt,3
,以,3
,集水區公告為保護區,3
,英國公益組織的數位工具箱,3
,主婦聯盟環境保護基金會,3
,日本,3
,同志父母親人座談會,3
,發言單,3
,長期照護level,3
,ngo網站數位行銷數據值得參考,3
,尚待報院討論,3
,法扶逍遙法外跨界講座十,3
,海洋塑膠垃圾,3
,行動,3
,史上最難,3
,宜蘭,3
,香港新任議員朱凱迪,3
,1,3
,人權,3
,講堂紀實,3
,用,3
,環保署,3
,社會住宅聯盟,3
,碳碳go,3
,尋找李明哲,3
,台北場,3
,性別團體,3
,我們可以做些什麼,3
,年金改革,3
,冷氣用得拙劣,3
,published,3
,微電影及映後座談會,3
,28,3
,29,3
,華盛頓公約會議明登場,3
,社團聯盟參與司法改革國是會議記者會,3
,statement,3
,篩檢,3
,科學家,3
,directed,3
,正視,3
,第三場次,3
,一帶一路,3
,綠盟講座,3
,專家,3
,lt,3
,親密,3
,問永續轉型為何物,3
,環境,3
,借鏡福斯醜聞,3
,2017國際不再恐同日,3
,家屬及民間社團聯合記者會,3
,孩子,3
,精障同志的就業困境,3
,881期,3
,還浪費電,3
,環境紫爆,3
,台南,3
,台北,3
,105,3
,glip,3
,抗議,3
,爽歪歪系列講座,3
,戰術,3
,2016國際豆類年,3
,三,3
,20170311,3
,婚姻平權大平台,3
,找回被國家扣押的幸福,3
,菅直人談日本電業自由化經驗,3
,系列講座,3
,民進黨,3
,第21期,3
,23,3
,新,3
,惡夢連連,3
,一體適用勞基法,3
,法律扶助基金會直播頻道,3
,桃園區,3
,勵馨攜手郭書瑤,3
,被失蹤,3
,障礙者權益,3
,國台辦,3
,柯市長,3
,c,3
,節目,3
,健康紅燈,3
,2016全球ngo線上使用調查,3
,新年快樂,3
,從獨立記者到獨立參選,3
,雲林,3
,才是出路,3
,柯文哲,3
,或明白地了解為什麼不要使用,3
,四,3
,開始報名囉,3
,打破壟斷讓國民當主角,3
,20161001,3
,台灣電力公司電業法,2
,跨世代甘苦談,2
,那些海洋教我們的塑,2
,不修憲能履行憲改的政治承諾嗎,2
,疑為藍營小金庫,2
,同志好釣又好騙,2
,拒砍七天假,2
,西方畜牧業引爆非洲糧食危機,2
,不拆巨蛋就完蛋,2
,李世光,2
,舊書介紹,2
,強送協商,2
,城市裡的鳥巢,2
,工會爭到底,2
,沈默世代,2
,歡迎預約參加,2
,博覽會開跑,2
,法官,2
,twimocracy,2
,嘉禾新村,2
,化資訊為行動的十個社運小戰術,2
,在一起,2
,華岡藝校濫權霸凌,2
,洪習會,2
,轉載,2
,techsoup,2
,metrics,2
,tech,2
,fossilfree,2
,地質敏感區開發前須先調查,2
,在戒掉空汙之前,2
,越重越有效,2
,地質,2
,才是司改國是會議的成敗關鍵,2
,數位發展策略指南徵求意見,2
,環境權保障基金會,2
,勵馨,2
,台灣專制保守的是誰,2
,people,2
,電影放映,2
,未來能在設計策略或方案成果衡量上能考慮採用此類普徧性的比較標準,2
,225,2
,監察委員提名與監察院制度改革座談會,2
,有影講台語,2
,紀錄片,2
,透明足跡,2
,環團痛批,2
,山林,2
,讓生命不再逝去,2
,需上報外籍游客言論,2
,重申政府應檢討制度及加強性別平等教育,2
,aptt,2
,誠徵,2
,搶佔漁獲做魚粉,2
,初審過關,2
,多菜少肉,2
,小小世界,2
,傾聽民意及產業界心聲,2
,核工業復興無望,2
,我們還沒等到監督條例立法,2
,嗨,2
,誰需要多元成家,2
,我們要真正的零廢棄,2
,搶救環境監測公信力,2
,並具能在本質上文化心態真正昇級,2
,家,2
,2017年03月捐款徵信,2
,president,2
,谷風隧道土方全數坐火車送宜蘭,2
,拆,2
,歡迎參加,2
,國際人權促進會,2
,海洋之美,2
,新疆加強導游監控及政審,2
,風雲啟動1996,2
,蝠,2
,政府放任,2
,背棄政見,2
,東北角生態鐵馬之旅,2
,專訪林華慶,2
,水下考古成文化資產新戰線,2
,台塑,2
,電子郵件設定,2
,至善電子報,2
,輸入及販賣,2
,反滲透法,2
,綠色和平發布,2
,正式開始預購,2
,2017五一勞工,2
,power,2
,silverwolf2463,2
,大山背梭德氏赤蛙產卵點調查,2
,三讀通過,2
,愛滋醫療費用自2017,2
,20161226,2
,刻不容緩,2
,非法律人,2
,教師節,2
,宏碁,2
,教育行政怠職擺爛,2
,的司法院正副院長及大法官,2
,性騷擾的迷思,2
,via,2
,動態網頁,2
,npo善用科技工具,2
,高屏親子共學家庭教育實踐班,2
,守護森林,2
,規劃與管制,2
,了嗎,2
,誠徵全職人員,2
,ngo官網設計的必備要件,2
,江天勇老家管控升級,2
,美河市案,2
,第17期,2
,2016年08月捐款徵信,2
,大陸異議人士張向忠赴台旅游跳機將向台灣政府尋求政治庇護,2
,都更盟訊息,2
,2017螢火蟲年會,2
,台灣植物大命名時代,2
,從障礙者參與文化到看見障礙文化,2
,到底改變了什麼,2
,海洋女神之旅,2
,三峽公園記,2
,雪山抓寶抓到怪,2
,島嶼浮塵,2
,出爐,2
,反剝削,2
,挺身為環境,2
,法律扶助基金會即時串流,2
,要求,2
,safetag,2
,歡迎免費參加,2
,空污,2
,抗議台中地院債清機制失靈聯合記者會,2
,lhakar,2
,優秀及待觀察立委公佈記者會,2
,che,2
,決賽暨頒獎典禮集錦,2
,祕魯農民反採礦遭擊受傷,2
,就是傷害學生受教權益,2
,人肉廣告牌,2
,土地正義,2
,性暴力,2
,台灣冤獄平反協會,2
,正方形,2
,從六輕空污案件看司法中的健康權,2
,廣東潮州公安拘12人,2
,公民訴訟能充分落實公民參與嗎,2
,就沒有公平,2
,a5288,2
,20161126,2
,silent放映暨映後座談會,2
,先解決,2
,性別團體聯合記者會,2
,20161023,2
,自然,2
,2016年7,2
,2016年12月3日,2
,立委環團,2
,民進黨假修私校法,2
,香港官員,2
,歡迎免費蒞臨參加,2
,捐血禁令可望放寬,2
,綠色諾貝爾獎,2
,補助千萬,2
,黃國昌,2
,夜半臨深淵,2
,中華鳥會,2
,抽血,2
,推薦,2
,vs,2
,公民社會的沉寂,2
,永達歸公,2
,何時才停止,2
,筆記,2
,募款晚會,2
,反孟山都,2
,大峽谷的荒野危機,2
,參與,2
,改避棲地1公里,2
,教育部,2
,科學少年,2
,2016世界現況,2
,譴責架空委員會,2
,已經連續作了十年的npo線上指標報告,2
,難民無國籍專題,2
,呼籲民進黨堅守進步價值,2
,嗎,2
,來電者分析,2
,台電沒把國會看在眼裡,2
,422,2
,medium,2
,auditing,2
,陪伴,2
,妻,2
,20170323,2
,20170322,2
,慾見和她的那些小事,2
,privacytoolsio,2
,我可能不會投你,2
,達魯瑪克大南教會裝上太陽能屋頂,2
,節能古城鹿耳門,2
,反空污,2
,任意門,2
,了解多元成家三法與婚姻平權的政治情勢,2
,先開發航道外側,2
,有感收費,2
,其他,2
,河南環保志願者張文奇舉報污染遭警方刑拘,2
,真相,2
,愛滋服藥嘸免驚,2
,開放文化基金會,2
,問題出在勞動力,2
,海底尋寶大揭密,2
,揪門神,2
,曾昭媛,2
,國際濕地日,2
,voice,2
,2017年02月捐款徵信,2
,綠色公民行動聯盟聯合新聞稿,2
,蘇花改第六次環差,2
,security,2
,放下傲慢身段,2
,新政府第一個,2
,維護費,2
,回應,2
,表現評量指標,2
,首屆,2
,right,2
,啟動礦業改革,2
,年金改革的多元性別正義,2
,2017台歐人權交流計畫,2
,請懸崖勒馬,2
,網路數位,2
,遷三次校的許厝學童何處去,2
,曙光乍現,2
,逾百村民抗議村官私自賣地,2
,台灣豆陣行,2
,議事攻防不應威脅議事人員,2
,立委籲李進勇停發燃煤及石油焦操作許可,2
,七卡山莊撈出,2
,supporting,2
,學店經營,2
,台中怎麼做大家都在看,2
,台灣蠻野心足生態協會,2
,帶頭全砍通識兼任教師,2
,婦女新知基金會資深研究員,2
,女女情色團體,2
,轉型正義,2
,調動課表,2
,堅持修正民法,2
,馬英九,2
,網站改版上線banner,2
,之一,2
,高教工會抽檢十所大專院校,2
,台灣人權促進會,2
,黨產會要查,2
,警政署喘共,2
,2016年婦女新知基金會感恩茶會邀請,2
,立法院第九屆第二會期,2
,對不起,2
,donating,2
,media,2
,nonprofitorgs,2
,性別政策失分,2
,時評,2
,落實婚姻平權,2
,檢察官定位與檢察制度改革,2
,環團批未實質減量,2
,座談,2
,outlook,2
,遲來環境大禮,2
,來看日本重拾,2
,勵馨活動,2
,天敵,2
,毒品供應之罪,2
,海豚學校,2
,誠徵行政助理,2
,扣押幸福,2
,中華民國,2
,第二分組第三次會議,2
,與童同行,2
,環團推,2
,改變世界,2
,詹長權公布研究,2
,彩虹熟年巴士,2
,職場零距離,2
,第23期,2
,華碩,2
,媒觀講堂,2
,維安小隊,2
,越南部落客被捕,2
,婦女新知基金會聲明,2
,嘉義縣,2
,油染西子灣,2
,生態米,2
,守護,2
,反台塑越鋼死魚案,2
,寶特瓶離島榜首,2
,定義不清,2
,2017年2月18日,2
,府,2
,廢死星期四,2
,全數表示願替兼任教師投保健保,2
,318三周年晚會活動新聞稿,2
,感染者就醫領藥更方便,2
,921地震17週年,2
,勞動部不能上演,2
,2016年11月捐款徵信,2
,twngo,2
,抗議經部出爾反爾,2
,新聞面對面,2
,勾結,2
,活動預告,2
,20170415,2
,審議民主工作坊,2
,德國綠色銀幕,2
,非法集會,2
,的鬧劇,2
,礦業法,2
,沒有改善,2
,盲人騎瞎馬,2
,抗議年代電視台,2
,女人的一生,2
,路殺,2
,第六屆,2
,隨袋徵收,2
,身心障礙者權利公約民間報告座談會,2
,中國消費者抵制韓貨傷害了誰,2
,17期婚姻家庭法律諮詢熱線招募志工,2
,聽法國南特副市長怎麼說,2
